epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5437,3.18661,4.49296,4.1883,0.00423,0.32698,0.00472,0.00145,2.92534,4.61799,4.05668,0.00023664,0.00023664,0.00023664
2,34.446,3.09432,4.45359,3.99156,0.00321,0.44225,0.00479,0.00117,2.89248,5.20782,4.05531,0.000473074,0.000473074,0.000473074
3,57.3043,2.85839,4.37691,3.70047,0.60907,0.09217,0.01081,0.00365,2.7322,5.88792,3.80077,0.000707937,0.000707937,0.000707937
4,80.4721,2.64527,4.30374,3.42644,0.00365,0.66637,0.00988,0.00255,2.52887,4.93202,3.46108,0.000706931,0.000706931,0.000706931
5,103.862,2.45287,4.21492,3.17892,0.00372,0.69226,0.03778,0.01295,2.34181,4.59744,3.16481,0.000704575,0.000704575,0.000704575
6,126.777,2.37861,4.14875,3.02894,0.31445,0.07946,0.02985,0.01006,2.25003,5.10947,2.99466,0.000702219,0.000702219,0.000702219
7,149.36,2.25022,4.01522,2.88991,0.01274,0.42394,0.02407,0.00848,2.24081,4.79415,2.96407,0.000699863,0.000699863,0.000699863
8,171.781,2.11022,3.89033,2.73414,0.0043,0.75735,0.0277,0.01016,2.08058,4.35292,2.86637,0.000697507,0.000697507,0.000697507
9,187.303,2.00368,3.75387,2.6302,0.26193,0.07977,0.05191,0.02407,2.00165,4.1856,2.78065,0.00069515,0.00069515,0.00069515
