epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12769.2,0.97791,1.28334,1.35384,0.62947,0.59303,0.63215,0.52128,0.59302,0.77355,1.08275,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13166.4,0.96974,1.26938,1.34767,0.67965,0.55755,0.63371,0.52299,0.5918,0.77166,1.08175,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13550.3,0.9729,1.26589,1.34785,0.67042,0.56341,0.6358,0.52587,0.58983,0.76893,1.07991,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13942.7,0.9704,1.25528,1.34361,0.69338,0.55965,0.63779,0.52737,0.58848,0.76727,1.07863,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14338.7,0.96762,1.25222,1.3409,0.70573,0.54969,0.64106,0.53007,0.58749,0.76488,1.07771,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14735.4,0.96326,1.23289,1.33842,0.67425,0.57202,0.64307,0.53208,0.5864,0.76274,1.07675,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15129.8,0.96232,1.23204,1.33393,0.66543,0.58433,0.64666,0.53451,0.58526,0.7602,1.07605,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15513.3,0.95424,1.22936,1.32574,0.66732,0.58721,0.64782,0.53589,0.58361,0.75851,1.07452,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15902.2,0.95412,1.21565,1.32778,0.66981,0.58335,0.64864,0.536,0.58287,0.75645,1.07371,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16295.4,0.95103,1.2103,1.31959,0.66914,0.59206,0.64928,0.5369,0.5814,0.75313,1.07193,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16690,0.94735,1.19348,1.31723,0.66766,0.59588,0.65083,0.53856,0.58028,0.75024,1.07074,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17085.8,0.9442,1.19233,1.31413,0.67015,0.59531,0.653,0.54023,0.57918,0.74789,1.06985,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17596.5,0.94209,1.1902,1.31162,0.68324,0.59318,0.65549,0.54286,0.57768,0.74578,1.0682,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18146,0.94045,1.18267,1.31143,0.68387,0.60143,0.65683,0.54515,0.57666,0.74292,1.06719,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
