epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1099.81,1.19776,1.04935,1.44431,0.77273,0.64905,0.73124,0.48575,1.19535,0.99407,1.4462,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1136.77,1.2129,1.05989,1.44574,0.78448,0.6377,0.73078,0.48327,1.19076,0.98056,1.4491,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1174,1.20334,1.02893,1.43677,0.76552,0.65154,0.73695,0.48893,1.18242,0.98365,1.43642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1212.23,1.19938,1.03254,1.42943,0.7739,0.66759,0.74737,0.49866,1.1684,0.95912,1.41995,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1249.52,1.1861,1.01465,1.41988,0.78623,0.64296,0.74012,0.49576,1.16878,0.96782,1.41639,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1287,1.17607,1.01438,1.41558,0.76556,0.67257,0.7416,0.49601,1.17394,0.95077,1.4298,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1324.81,1.16994,0.99594,1.4066,0.77757,0.66953,0.74822,0.49935,1.1736,0.95777,1.42848,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1362.12,1.16499,0.9975,1.40489,0.78367,0.66205,0.74744,0.50489,1.16737,0.93159,1.42009,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1399.22,1.17197,0.98738,1.40363,0.78154,0.67036,0.75831,0.50978,1.15914,0.93929,1.41593,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1436.36,1.14241,0.96654,1.39043,0.77422,0.68239,0.75678,0.51203,1.14052,0.9263,1.38907,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
