epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1136.14,0.90636,0.65489,1.10285,0.84721,0.78328,0.85947,0.63641,0.90536,0.62417,1.09443,0.001307,0.001307,0.001307
44,1157.29,0.88773,0.62722,1.09331,0.85576,0.7855,0.86605,0.6451,0.89136,0.62135,1.08761,0.0012905,0.0012905,0.0012905
45,1178.4,0.88573,0.63022,1.08841,0.86402,0.7736,0.86571,0.64441,0.8965,0.61007,1.09386,0.001274,0.001274,0.001274
46,1199.81,0.88056,0.63108,1.08889,0.85529,0.79131,0.86684,0.64802,0.88864,0.60813,1.08251,0.0012575,0.0012575,0.0012575
47,1221.24,0.88302,0.62937,1.08898,0.84529,0.78785,0.86509,0.65221,0.87608,0.60303,1.07928,0.001241,0.001241,0.001241
48,1242.62,0.87607,0.61833,1.07932,0.86251,0.79001,0.87237,0.65362,0.88246,0.59659,1.08554,0.0012245,0.0012245,0.0012245
49,1263.89,0.87119,0.62418,1.08866,0.86525,0.7855,0.86783,0.65012,0.88603,0.60332,1.08099,0.001208,0.001208,0.001208
50,1285.03,0.87705,0.61475,1.08145,0.86631,0.78328,0.87118,0.65417,0.87735,0.59476,1.07603,0.0011915,0.0011915,0.0011915
51,1306.24,0.86595,0.60568,1.07947,0.86133,0.79083,0.86971,0.65344,0.88308,0.59515,1.08011,0.001175,0.001175,0.001175
52,1327.73,0.86332,0.6066,1.07118,0.87258,0.78848,0.87344,0.65483,0.87504,0.59085,1.07328,0.0011585,0.0011585,0.0011585
53,1349.32,0.86316,0.60503,1.07316,0.87774,0.78691,0.87217,0.65611,0.87294,0.59363,1.07004,0.001142,0.001142,0.001142
54,1370.88,0.86122,0.6001,1.07723,0.87464,0.78979,0.87446,0.65738,0.87214,0.5886,1.07288,0.0011255,0.0011255,0.0011255
55,1392.56,0.85481,0.60342,1.07818,0.86502,0.79992,0.87629,0.66019,0.86854,0.58157,1.06591,0.001109,0.001109,0.001109
56,1414.27,0.85293,0.59425,1.06672,0.85836,0.79463,0.8724,0.65928,0.86899,0.59139,1.07713,0.0010925,0.0010925,0.0010925
57,1435.97,0.8528,0.59413,1.07055,0.87086,0.79435,0.87432,0.66471,0.85829,0.5842,1.0639,0.001076,0.001076,0.001076
58,1457.62,0.85449,0.59803,1.06536,0.88995,0.79491,0.88272,0.66976,0.85396,0.56945,1.06107,0.0010595,0.0010595,0.0010595
59,1479.06,0.84118,0.58886,1.05923,0.88205,0.8021,0.88071,0.66812,0.85419,0.56691,1.0596,0.001043,0.001043,0.001043
60,1500.52,0.84418,0.58773,1.0652,0.87082,0.81068,0.88587,0.67094,0.84686,0.56382,1.05475,0.0010265,0.0010265,0.0010265
61,1522.03,0.84443,0.58597,1.06867,0.88653,0.79629,0.88136,0.66743,0.85102,0.55661,1.0569,0.00101,0.00101,0.00101
62,1543.69,0.83991,0.58341,1.06126,0.87336,0.79596,0.88074,0.66791,0.84529,0.56292,1.05143,0.0009935,0.0009935,0.0009935
63,1565.18,0.83704,0.58118,1.05907,0.8827,0.79906,0.88688,0.6731,0.8483,0.54969,1.05396,0.000977,0.000977,0.000977
64,1586.57,0.83357,0.57918,1.05527,0.8642,0.81317,0.88486,0.67289,0.84843,0.55165,1.05639,0.0009605,0.0009605,0.0009605
65,1607.91,0.83177,0.57349,1.05558,0.88493,0.80455,0.88568,0.67415,0.8436,0.54993,1.05039,0.000944,0.000944,0.000944
66,1629.35,0.81419,0.56548,1.04743,0.87483,0.81317,0.883,0.67225,0.84227,0.55105,1.05194,0.0009275,0.0009275,0.0009275
67,1650.55,0.82842,0.56705,1.05455,0.86288,0.82561,0.88796,0.67581,0.83955,0.55182,1.04834,0.000911,0.000911,0.000911
68,1672.15,0.82593,0.57125,1.05392,0.88313,0.80515,0.88321,0.67789,0.82887,0.54539,1.04156,0.0008945,0.0008945,0.0008945
69,1693.62,0.81655,0.56085,1.05148,0.88751,0.80958,0.88906,0.68104,0.83276,0.53925,1.04019,0.000878,0.000878,0.000878
70,1715.08,0.81774,0.55682,1.0474,0.88487,0.80681,0.88925,0.68155,0.83018,0.5449,1.04122,0.0008615,0.0008615,0.0008615
71,1736.6,0.81256,0.5573,1.04552,0.88683,0.80249,0.88741,0.68028,0.82906,0.54612,1.03932,0.000845,0.000845,0.000845
72,1759.13,0.8108,0.55676,1.04147,0.87623,0.8129,0.88972,0.6825,0.82579,0.5357,1.03865,0.0008285,0.0008285,0.0008285
73,1781.41,0.80681,0.55507,1.04218,0.87541,0.81871,0.88926,0.68302,0.8269,0.53402,1.03861,0.000812,0.000812,0.000812
74,1803.76,0.80742,0.55179,1.05012,0.8953,0.80985,0.88712,0.68171,0.82191,0.53347,1.03825,0.0007955,0.0007955,0.0007955
75,1826.17,0.81038,0.55295,1.04579,0.88781,0.81843,0.88896,0.68443,0.82134,0.53095,1.03753,0.000779,0.000779,0.000779
76,1848.54,0.81028,0.55099,1.04419,0.87803,0.81892,0.88805,0.68658,0.82177,0.53379,1.03716,0.0007625,0.0007625,0.0007625
77,1870.79,0.80662,0.55214,1.0432,0.88283,0.81752,0.89137,0.69029,0.81519,0.52242,1.03229,0.000746,0.000746,0.000746
78,1893.13,0.79484,0.5383,1.03576,0.88399,0.82038,0.8913,0.68932,0.81742,0.53098,1.03405,0.0007295,0.0007295,0.0007295
79,1915.64,0.79617,0.54321,1.03428,0.8905,0.81479,0.89069,0.68792,0.81606,0.52671,1.03239,0.000713,0.000713,0.000713
