epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1234.78,1.23845,1.07031,1.46955,0.75099,0.65098,0.72288,0.47524,1.22853,1.01366,1.48178,0.0014588,0.0014588,0.0014588
43,1256.65,1.23318,1.07491,1.46366,0.76728,0.65339,0.72877,0.47838,1.22318,1.01207,1.48315,0.0014456,0.0014456,0.0014456
44,1278.33,1.21128,1.04409,1.45256,0.76931,0.64766,0.72955,0.47955,1.20466,0.99167,1.4669,0.0014324,0.0014324,0.0014324
45,1300.93,1.20512,1.02855,1.43787,0.75469,0.65736,0.73083,0.48331,1.21721,0.99564,1.47125,0.0014192,0.0014192,0.0014192
46,1323.75,1.20426,1.03255,1.44453,0.77422,0.65901,0.74057,0.48741,1.2075,0.98022,1.46723,0.001406,0.001406,0.001406
47,1346.87,1.1955,1.0273,1.43691,0.7797,0.6661,0.74787,0.49514,1.18042,0.96436,1.44597,0.0013928,0.0013928,0.0013928
48,1370.22,1.19386,1.01726,1.42908,0.76886,0.67116,0.74719,0.49726,1.18233,0.94993,1.44189,0.0013796,0.0013796,0.0013796
49,1392.58,1.19096,1.02505,1.43821,0.76686,0.66824,0.74234,0.49212,1.19281,0.9648,1.45524,0.0013664,0.0013664,0.0013664
50,1415.27,1.19572,1.00486,1.43117,0.77072,0.66058,0.74073,0.49101,1.19702,0.97083,1.45008,0.0013532,0.0013532,0.0013532
51,1437.82,1.17823,0.98825,1.42159,0.75994,0.68115,0.75422,0.50308,1.18541,0.93251,1.4353,0.00134,0.00134,0.00134
52,1459.87,1.17165,0.98433,1.41349,0.75519,0.67876,0.74576,0.50117,1.16273,0.95449,1.43049,0.0013268,0.0013268,0.0013268
53,1481.46,1.16323,0.9783,1.40146,0.77767,0.67091,0.75312,0.50924,1.14877,0.92565,1.41342,0.0013136,0.0013136,0.0013136
54,1503.1,1.16515,0.97616,1.41817,0.76344,0.68364,0.75481,0.50701,1.16174,0.93176,1.41673,0.0013004,0.0013004,0.0013004
55,1524.63,1.16158,0.98456,1.41471,0.77131,0.68696,0.75919,0.50752,1.15793,0.92365,1.4249,0.0012872,0.0012872,0.0012872
56,1546.29,1.15475,0.96505,1.39631,0.7781,0.68227,0.7574,0.51248,1.14865,0.90277,1.41325,0.001274,0.001274,0.001274
57,1567.91,1.14753,0.96445,1.39456,0.78097,0.67304,0.75952,0.51202,1.15944,0.91803,1.41749,0.0012608,0.0012608,0.0012608
58,1589.78,1.14791,0.95248,1.37774,0.79855,0.68364,0.77033,0.52294,1.14426,0.87961,1.4073,0.0012476,0.0012476,0.0012476
59,1611.38,1.14316,0.94715,1.38859,0.77792,0.68475,0.76604,0.51975,1.13564,0.896,1.39769,0.0012344,0.0012344,0.0012344
60,1632.9,1.12705,0.94074,1.38026,0.77761,0.69444,0.76681,0.52356,1.12384,0.88558,1.38501,0.0012212,0.0012212,0.0012212
61,1654.93,1.13717,0.93637,1.3896,0.78793,0.6818,0.76953,0.52495,1.12162,0.87846,1.38784,0.001208,0.001208,0.001208
62,1682.95,1.12561,0.93891,1.37682,0.77143,0.68862,0.76861,0.52608,1.1291,0.87577,1.39083,0.0011948,0.0011948,0.0011948
63,1712.27,1.11766,0.92108,1.3663,0.78355,0.69084,0.77225,0.53025,1.12013,0.86907,1.38281,0.0011816,0.0011816,0.0011816
64,1742.43,1.12232,0.92559,1.37125,0.78586,0.70855,0.77815,0.53083,1.12761,0.86368,1.38791,0.0011684,0.0011684,0.0011684
65,1772.77,1.11545,0.91845,1.36456,0.79072,0.69333,0.77724,0.53285,1.11266,0.85125,1.37918,0.0011552,0.0011552,0.0011552
66,1803.24,1.09553,0.9022,1.35658,0.78382,0.70219,0.77652,0.53339,1.12096,0.85855,1.39101,0.001142,0.001142,0.001142
67,1832.78,1.09906,0.90228,1.35098,0.78236,0.69748,0.77469,0.53343,1.10223,0.86772,1.36874,0.0011288,0.0011288,0.0011288
68,1863.38,1.10598,0.91267,1.36182,0.79349,0.69126,0.77891,0.53796,1.09872,0.85353,1.37136,0.0011156,0.0011156,0.0011156
69,1893.79,1.09231,0.89455,1.35211,0.8215,0.68402,0.77829,0.53979,1.10265,0.85005,1.37145,0.0011024,0.0011024,0.0011024
70,1923.9,1.09835,0.88951,1.34951,0.79392,0.69527,0.78126,0.53789,1.10405,0.8485,1.36829,0.0010892,0.0010892,0.0010892
71,1953.9,1.08725,0.88099,1.34075,0.7826,0.69147,0.77954,0.53845,1.09744,0.84626,1.36467,0.001076,0.001076,0.001076
72,1985.31,1.0897,0.88254,1.34099,0.77606,0.7232,0.79003,0.54699,1.08641,0.82923,1.34779,0.0010628,0.0010628,0.0010628
73,2015.66,1.08443,0.87332,1.34004,0.7844,0.71907,0.7892,0.54719,1.08149,0.82908,1.34833,0.0010496,0.0010496,0.0010496
74,2045.7,1.07231,0.87518,1.33893,0.78837,0.70938,0.79119,0.54791,1.08549,0.82968,1.3481,0.0010364,0.0010364,0.0010364
75,2075.21,1.07831,0.881,1.34042,0.80114,0.70163,0.78948,0.54781,1.08531,0.82904,1.35507,0.0010232,0.0010232,0.0010232
76,2104.22,1.0733,0.86469,1.33101,0.79378,0.70634,0.78746,0.54584,1.08555,0.82831,1.3541,0.00101,0.00101,0.00101
77,2133.78,1.07062,0.86897,1.32565,0.79088,0.71074,0.79421,0.55472,1.07407,0.81795,1.34073,0.0009968,0.0009968,0.0009968
78,2164.42,1.05875,0.85237,1.32272,0.7934,0.70523,0.79212,0.5533,1.07186,0.81587,1.34467,0.0009836,0.0009836,0.0009836
79,2194.69,1.0593,0.85498,1.31887,0.79357,0.7267,0.7982,0.55533,1.07851,0.81622,1.33737,0.0009704,0.0009704,0.0009704
80,2225.22,1.06837,0.85119,1.32832,0.79908,0.71436,0.79741,0.56052,1.06367,0.80542,1.33543,0.0009572,0.0009572,0.0009572
